Date,Year,Month,Value,Indicator,Source,Frequency,File,Original_Indicator
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,3. General Index of Industrial Production (1)
2010-11,2010,,162.5,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,3. General Index of Industrial Production (1)
1990-91,1990,,1925.4,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,7. Aggregate Deposits (5)
2009-10,2009,,44928.3,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,7. Aggregate Deposits (5)
2010-11,2010,,52079.7,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,7. Aggregate Deposits (5)
2011-12,2011,,59036.6,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,7. Aggregate Deposits (5)
1990-91,1990,,1163.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,8. Bank Credit (5)
2009-10,2009,,32447.9,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,8. Bank Credit (5)
2010-11,2010,,39420.8,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,8. Bank Credit (5)
2011-12,2011,,46116.3,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,8. Bank Credit (5)
1990-91,1990,,2658.3,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,(b) M3
2009-10,2009,,56027.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,(b) M3
2010-11,2010,,65041.2,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,(b) M3
2011-12,2011,,73440.7,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BCS090512.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2008-09,2008,,4162509.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,3. General Index of Industrial Production (1)
2008-09,2008,,145.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,3. General Index of Industrial Production (1)
2010-11,2010,,165.4,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,7. Aggregate Deposits (5)
2010-11,2010,,5207969.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,8. Bank Credit (5)
2010-11,2010,,3942083.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,(b) M3
2008-09,2008,,4794812.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,(b) M3
2009-10,2009,,5602731.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,(b) M3
2010-11,2010,,6499548.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL081111S.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2008-09,2008,,4162509.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,3. General Index of Industrial Production (1)
2008-09,2008,,145.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,3. General Index of Industrial Production (1)
2010-11,2010,,165.4,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,3. General Index of Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,7. Aggregate Deposits (5)
2010-11,2010,,5207969.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,8. Bank Credit (5)
2010-11,2010,,3942083.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,(b) M3
2008-09,2008,,4794812.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,(b) M3
2009-10,2009,,5602731.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,(b) M3
2010-11,2010,,6499548.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL090811.xls,(b) M3
1990-91,1990,,1083572.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
2007-08,2007,,3893457.0,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,1. Gross Domestic Product at  Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,3. General Index of  Industrial Production (1)
2007-08,2007,,268.0,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,3. General Index of  Industrial Production (1)
2008-09,2008,,275.4,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,3. General Index of  Industrial Production (1)
2009-10,2009,,304.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,3. General Index of  Industrial Production (1)
1990-91,1990,,192541.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,7. Aggregate Deposits (5)
2007-08,2007,,3196939.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,7. Aggregate Deposits (5)
2008-09,2008,,3834110.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,7. Aggregate Deposits (5)
2009-10,2009,,4492826.0,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,7. Aggregate Deposits (5)
1990-91,1990,,116301.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,8. Bank Credit (5)
2007-08,2007,,2361914.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,8. Bank Credit (5)
2008-09,2008,,2775549.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,8. Bank Credit (5)
2009-10,2009,,3244788.0,Credit,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,8. Bank Credit (5)
1990-91,1990,,265828.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,(b) M3
2007-08,2007,,4017883.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,(b) M3
2008-09,2008,,4794812.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,(b) M3
2009-10,2009,,5599762.0,Money_Supply,RBI_Bulletin_T1_Legacy,Annual,01T_BL091010.xls,(b) M3
1990-91,1990,,13478.9,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
2009-10,2009,,45076.4,GDP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,1. Gross Domestic Product at Factor Cost (at 2004-05 prices)
1990-91,1990,,212.6,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,3. General Index of Industrial Production (1)
2009-10,2009,,152.9,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,3. General Index of Industrial Production (1)
2010-11,2010,,162.5,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,3. General Index of Industrial Production (1)
2011-12,2011,,170.2,IIP,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,3. General Index of Industrial Production (1)
1990-91,1990,,1925.4,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,7. Aggregate Deposits (5)
2009-10,2009,,44928.3,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,7. Aggregate Deposits (5)
2010-11,2010,,52079.7,Deposits,RBI_Bulletin_T1_Legacy,Annual,01T_BLJ080612.xls,7. Aggregate Deposits (5)
